# SOPH Battery Test Log
# Suite:     nist
# Seed:      ff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ff --bytes 0
# Date:      2026-03-22 10:44:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 81  88 121 103  95  99  98 107 103 105  0.298282    992/1000	 NonOverlappingTemplate
 97 101 101  99 114  94  89  95 103 107  0.877083    995/1000	 NonOverlappingTemplate
 96  99 101 112 108 111  86 100  99  88  0.649612    988/1000	 NonOverlappingTemplate
127  88  94  96 105  86 120  93  91 100  0.052610    986/1000	 NonOverlappingTemplate
105  91  94  83 114  99 108 127  88  91  0.057875    992/1000	 NonOverlappingTemplate
101  92 115 101 101 105  94  99 100  92  0.899171    990/1000	 NonOverlappingTemplate
 90 114  86 105 118 103  96  84  86 118  0.058612    995/1000	 NonOverlappingTemplate
101 103 107  98 104 103 112  87  90  95  0.811080    991/1000	 NonOverlappingTemplate
115  86 102 104  84 116  96 100 106  91  0.285427    989/1000	 NonOverlappingTemplate
 88 106  98  97 102  92 111 112 103  91  0.723804    992/1000	 NonOverlappingTemplate
110 112  89 103  95  82 105  93 108 103  0.465415    988/1000	 NonOverlappingTemplate
 91 107  94  88  92  91 102 117 117 101  0.320607    986/1000	 NonOverlappingTemplate
113  91  97 109  94 103 103  89 104  97  0.798139    987/1000	 NonOverlappingTemplate
 87 112 113 102  93  88 108  99 105  93  0.516113    988/1000	 NonOverlappingTemplate
100  89 107  92 109 111 105 100  88  99  0.733899    993/1000	 NonOverlappingTemplate
 88  95 119 106  92 101  96 115  98  90  0.370262    991/1000	 NonOverlappingTemplate
 89  98 106  95 120 102  88  95 107 100  0.526105    988/1000	 NonOverlappingTemplate
 96  94 104 102 109  99 101  91 102 102  0.982454    992/1000	 NonOverlappingTemplate
100  98  86  89  96 117 119  97  97 101  0.345650    988/1000	 NonOverlappingTemplate
 97  86 114  95  79 107 101  99 116 106  0.207730    990/1000	 NonOverlappingTemplate
 80  94 112  91  91 116 105 107  96 108  0.241741    994/1000	 OverlappingTemplate
103 122  96  88  97  88 112  95  99 100  0.370262    993/1000	 Universal
 95  91 113 103  95  88 106 104  98 107  0.781106    988/1000	 ApproximateEntropy
 59  63  71  70  69  49  55  70  54  63  0.453126    615/623 	 RandomExcursions
 55  94  52  67  58  56  63  57  58  63  0.013856    617/623 	 RandomExcursions
 56  60  74  57  53  58  50  68  80  67  0.145803    615/623 	 RandomExcursions
 57  55  61  64  70  70  56  56  81  53  0.239353    616/623 	 RandomExcursions
 61  57  77  57  55  65  65  64  61  61  0.780389    618/623 	 RandomExcursions
 78  60  61  55  61  57  61  60  53  77  0.321310    616/623 	 RandomExcursions
 58  72  65  70  69  60  55  66  52  56  0.627093    620/623 	 RandomExcursions
 66  66  55  74  67  54  68  42  64  67  0.187095    611/623 	 RandomExcursions
 54  59  57  59  59  53  71  75  71  65  0.474492    620/623 	 RandomExcursionsVariant
 54  60  56  59  60  61  70  73  76  54  0.435202    621/623 	 RandomExcursionsVariant
 52  56  66  55  60  66  71  71  72  54  0.459182    619/623 	 RandomExcursionsVariant
 47  59  70  59  64  71  60  61  55  77  0.292804    615/623 	 RandomExcursionsVariant
 50  64  64  46  82  53  75  62  64  63  0.047967    615/623 	 RandomExcursionsVariant
 59  54  55  65  76  56  73  67  59  59  0.490033    615/623 	 RandomExcursionsVariant
 54  63  66  59  64  73  71  64  55  54  0.677157    618/623 	 RandomExcursionsVariant
 51  65  59  69  56  65  59  61  76  62  0.633777    614/623 	 RandomExcursionsVariant
 59  64  51  66  64  60  64  55  60  80  0.471411    617/623 	 RandomExcursionsVariant
 72  52  63  69  73  57  52  66  65  54  0.403350    618/623 	 RandomExcursionsVariant
 78  54  55  67  50  69  61  51  68  70  0.163918    614/623 	 RandomExcursionsVariant
 76  49  59  54  63  66  64  60  74  58  0.351656    616/623 	 RandomExcursionsVariant
 58  73  62  51  66  67  57  65  57  67  0.726514    620/623 	 RandomExcursionsVariant
 59  78  51  70  63  53  64  66  63  56  0.397705    619/623 	 RandomExcursionsVariant
 56  70  54  70  64  54  57  57  62  79  0.336255    617/623 	 RandomExcursionsVariant
 57  66  53  69  65  73  54  47  81  58  0.077913    617/623 	 RandomExcursionsVariant
 53  66  62  67  66  61  66  59  56  67  0.935877    616/623 	 RandomExcursionsVariant
 49  67  63  70  58  68  58  63  66  61  0.786519    616/623 	 RandomExcursionsVariant
 85 102 103 106  86 113 104 112  94  95  0.474986    990/1000	 Serial
 98  99  94  80 101 109 109 108  97 105  0.635037    986/1000	 Serial
 95 103 115 107  99 105  92 110  93  81  0.429923    992/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 609 for a sample size = 623 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
