# SOPH Battery Test Log
# Suite:     nist
# Seed:      ffff
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex ffff --bytes 0
# Date:      2026-03-22 10:45:32
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 86 101 107 111  94  94  99 115  80 113  0.194813    994/1000	 NonOverlappingTemplate
 86  91 100 119 112  95  99 102 101  95  0.496351    994/1000	 NonOverlappingTemplate
101 101  97 117 111  83 108  92  97  93  0.440975    990/1000	 NonOverlappingTemplate
114 100  87  97  94  97 101 112  90 108  0.607993    987/1000	 NonOverlappingTemplate
 94  89  99  92 103  98 112 109 105  99  0.846338    991/1000	 NonOverlappingTemplate
100  99 102 117 120  87 100  99  94  82  0.200115    992/1000	 NonOverlappingTemplate
 98 104  95 103 109 107  85  97  86 116  0.465415    987/1000	 NonOverlappingTemplate
101 115  83 104  97 105 114  96  86  99  0.371941    986/1000	 NonOverlappingTemplate
 98 107  77 111  89 108  90  96 104 120  0.115387    990/1000	 NonOverlappingTemplate
107 103  97  98  96 106 107 100  91  95  0.972382    990/1000	 NonOverlappingTemplate
111 101 102  84  94 106 109 100  98  95  0.775337    985/1000	 NonOverlappingTemplate
112 108 100 106  77 102 116 100  76 103  0.063217    987/1000	 NonOverlappingTemplate
112  95  92 120  82 103 101  97 101  97  0.361938    990/1000	 NonOverlappingTemplate
 97 109 121  89  79 105  93 108  93 106  0.155499    991/1000	 NonOverlappingTemplate
 95 104  98  99  98  84  95 104 111 112  0.727851    989/1000	 NonOverlappingTemplate
101  97 136  85 115  96  92  80  87 111  0.002697    988/1000	 NonOverlappingTemplate
115 136 100  99  94  98  95  91  76  96  0.007160    995/1000	 NonOverlappingTemplate
 90 109  97 104  84 102 112 112 100  90  0.480771    995/1000	 NonOverlappingTemplate
108 108 101  92 107  97  97  98 105  87  0.869278    993/1000	 NonOverlappingTemplate
101  88 106 104  97 113  97 107  84 103  0.639202    992/1000	 NonOverlappingTemplate
 97 104 117 107 110  77  99 103  94  92  0.274341    991/1000	 NonOverlappingTemplate
 88 100 107  87 101 100  98 115  89 115  0.402962    991/1000	 NonOverlappingTemplate
104  97  96 110  84  81 120 110  92 106  0.138069    990/1000	 NonOverlappingTemplate
109  96 104  96 102 119  83 101  94  96  0.498313    990/1000	 NonOverlappingTemplate
109  98  84 114 105  98 100 103  93  96  0.699313    989/1000	 NonOverlappingTemplate
100  87  91 107 108  99 105 104  90 109  0.753844    994/1000	 NonOverlappingTemplate
109  86  96  97  94  94 110 109  97 108  0.711601    987/1000	 NonOverlappingTemplate
102 104  94 110 102 103  98 101  85 101  0.911413    985/1000	 NonOverlappingTemplate
 99 103  93  93 103 101  94 112 100 102  0.963497    993/1000	 NonOverlappingTemplate
