# SOPH Battery Test Log
# Suite:     nist
# Seed:      0000
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 0000 --bytes 0
# Date:      2026-03-22 10:43:00
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
103  81 116  96  98 108  88 101 110  99  0.387264    989/1000	 NonOverlappingTemplate
 86 105 108 101  92 109 103 103  99  94  0.846338    994/1000	 NonOverlappingTemplate
 90 118  95  85 104  94 112  92 108 102  0.348869    992/1000	 NonOverlappingTemplate
 95 119  97  94  97  87 109  83 105 114  0.213309    991/1000	 NonOverlappingTemplate
107  91  86  88 106 101 102  92 103 124  0.236810    989/1000	 NonOverlappingTemplate
 91 121 104  95 107 106  85 107  95  89  0.298282    992/1000	 NonOverlappingTemplate
111 105  94  92  90 106  98 118  88  98  0.476911    986/1000	 NonOverlappingTemplate
 91  95 102  98 100 100 103 102  94 115  0.919131    990/1000	 NonOverlappingTemplate
104 127  80 103  87 101 106 100 100  92  0.114040    989/1000	 NonOverlappingTemplate
110  75  96 104  91 115 115  92  94 108  0.104993    991/1000	 NonOverlappingTemplate
106 104 109  96  91  73 110  94 115 102  0.152044    989/1000	 NonOverlappingTemplate
106 121 116 104  90 102  89  89  99  84  0.140453    990/1000	 NonOverlappingTemplate
 88  84  98 110  98 101 108 100 108 105  0.676615    991/1000	 OverlappingTemplate
114  86  93  89 103 100  99 102  98 116  0.498313    988/1000	 Universal
 87 102 110 103 112 124  94  88  91  89  0.128132    992/1000	 ApproximateEntropy
 52  64  64  80  63  66  53  49  65  62  0.246130    613/618 	 RandomExcursions
 59  55  64  58  76  65  50  73  62  56  0.397394    613/618 	 RandomExcursions
 56  53  71  64  63  71  70  61  58  51  0.548558    610/618 	 RandomExcursions
 53  50  71  59  58  73  69  66  51  68  0.282648    612/618 	 RandomExcursions
 53  61  64  40  61  62  69  68  66  74  0.153875    612/618 	 RandomExcursions
 68  58  68  54  63  57  60  66  62  62  0.955951    611/618 	 RandomExcursions
 58  57  64  51  61  58  63  80  72  54  0.284914    613/618 	 RandomExcursions
 56  57  67  55  62  72  63  63  61  62  0.921336    616/618 	 RandomExcursions
 58  54  59  55  65  58  74  64  76  55  0.438171    613/618 	 RandomExcursionsVariant
 48  66  55  54  67  68  70  55  67  68  0.432211    613/618 	 RandomExcursionsVariant
 58  55  59  64  52  55  68  69  75  63  0.555146    612/618 	 RandomExcursionsVariant
 56  65  46  54  61  63  61  71  75  66  0.330439    611/618 	 RandomExcursionsVariant
 53  64  52  62  54  66  58  68  63  78  0.411701    612/618 	 RandomExcursionsVariant
 57  65  60  64  69  46  75  56  71  55  0.273718    614/618 	 RandomExcursionsVariant
 62  45  62  76  55  61  71  59  58  69  0.264996    615/618 	 RandomExcursionsVariant
 52  55  47  62  68  64  63  74  71  62  0.322938    613/618 	 RandomExcursionsVariant
 64  47  54  65  60  63  72  64  62  67  0.632065    612/618 	 RandomExcursionsVariant
 49  56  72  68  64  69  60  61  61  58  0.665734    617/618 	 RandomExcursionsVariant
 46  54  68  68  68  69  76  60  55  54  0.172973    616/618 	 RandomExcursionsVariant
 47  55  63  76  53  66  75  64  52  67  0.122095    616/618 	 RandomExcursionsVariant
 46  68  49  70  66  47  73  71  64  64  0.071478    614/618 	 RandomExcursionsVariant
 52  60  66  53  70  67  45  57  76  72  0.103857    614/618 	 RandomExcursionsVariant
 50  54  68  55  64  59  62  67  74  65  0.551849    614/618 	 RandomExcursionsVariant
 52  61  55  51  75  54  84  56  72  58  0.030397    615/618 	 RandomExcursionsVariant
 56  55  54  73  58  77  50  64  76  55  0.101876    615/618 	 RandomExcursionsVariant
 54  58  70  59  61  57  59  76  70  54  0.506360    613/618 	 RandomExcursionsVariant
 96  96 102 105  92 108  86 101 106 108  0.846338    986/1000	 Serial
103  96  99  86  98 108 101  97 103 109  0.917870    993/1000	 Serial
108  99  88  91 104 108 100 102  99 101  0.926487    985/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 604 for a sample size = 618 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
