# SOPH Battery Test Log
# Suite:     nist
# Seed:      02
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 02 --bytes 0
# Date:      2026-03-22 22:54:50
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 90 106 104 100 100 110 103  92  95 100  0.941144    991/1000	 NonOverlappingTemplate
108 106  91  90 107  93 100 102 103 100  0.916599    988/1000	 NonOverlappingTemplate
112 111  93 107 102  94  95  94  94  98  0.830808    987/1000	 NonOverlappingTemplate
101  94 107  88 114  80 106 118  92 100  0.186566    990/1000	 NonOverlappingTemplate
 99  97 113 108  89 111  88  86  99 110  0.413628    993/1000	 NonOverlappingTemplate
112  98  76  81 100 113 112  90 109 109  0.055361    989/1000	 NonOverlappingTemplate
108  98 105 113  89 108 105  88  87  99  0.548314    992/1000	 NonOverlappingTemplate
114  99 106 101  97 106  92  84  90 111  0.514124    991/1000	 NonOverlappingTemplate
 91  96 112 105  95  93 100 107  94 107  0.856359    991/1000	 NonOverlappingTemplate
 82 106 112 107  88 105 107  91 100 102  0.478839    993/1000	 NonOverlappingTemplate
 99  80 102 118 119  85  90  90  99 118  0.030806    987/1000	 NonOverlappingTemplate
 93  90  98 102 101 107  94  89 112 114  0.632955    984/1000	 NonOverlappingTemplate
106 106  94  96 107 104  90 104 108  85  0.745908    989/1000	 NonOverlappingTemplate
113  93 102 100 108  94 111  97  86  96  0.674543    994/1000	 NonOverlappingTemplate
110 106 101 101  92 106  84  95  99 106  0.783019    990/1000	 NonOverlappingTemplate
102  99  97  99  95  96  94 109 113  96  0.936823    988/1000	 NonOverlappingTemplate
 87 104  93  98  85  99 114  98 115 107  0.402962    991/1000	 NonOverlappingTemplate
114  90  97 102  91  99 112 104 104  87  0.599693    989/1000	 NonOverlappingTemplate
 86  90 102 110 111 117 104 103  91  86  0.267573    985/1000	 NonOverlappingTemplate
 85  81  85 119 120  88 101 106 109 106  0.027868    990/1000	 NonOverlappingTemplate
104  97  94 110 110  95  93 114 101  82  0.478839    989/1000	 NonOverlappingTemplate
102  99 103 112 102  98 101  96  83 104  0.844641    989/1000	 NonOverlappingTemplate
100 106 104  92 109  87  97  91 110 104  0.767582    992/1000	 NonOverlappingTemplate
108  91 104  91 103 106 101 109  90  97  0.853049    987/1000	 NonOverlappingTemplate
101 115  85 107  96 103 112  89  94  98  0.504219    992/1000	 NonOverlappingTemplate
 92 102  97  94 100 107 102  91 108 107  0.935716    990/1000	 NonOverlappingTemplate
 89  96 102 103 111  91 110 109 102  87  0.630872    988/1000	 NonOverlappingTemplate
 82 101 106  93 102  99 110 121  79 107  0.106877    988/1000	 NonOverlappingTemplate
 92  83 105 115 103 124 109  84  85 100  0.041438    993/1000	 NonOverlappingTemplate
 98  98 106  89  87 105 122 108  99  88  0.310049    991/1000	 NonOverlappingTemplate
 78  90  89 100 107 114 108 113 106  95  0.189625    994/1000	 OverlappingTemplate
103  97 111  87 112 101  90  88 110 101  0.536163    986/1000	 Universal
 89 101 104 103  98  97 109 100 106  93  0.953089    994/1000	 ApproximateEntropy
 69  59  54  65  58  73  66  52  69  54  0.531381    611/619 	 RandomExcursions
 58  62  69  69  57  51  67  69  61  56  0.740726    614/619 	 RandomExcursions
 64  54  72  72  61  62  53  58  61  62  0.747172    613/619 	 RandomExcursions
 62  70  64  62  53  51  68  65  59  65  0.800189    611/619 	 RandomExcursions
 57  62  63  54  56  70  73  65  63  56  0.763115    614/619 	 RandomExcursions
 61  67  69  65  63  52  71  59  58  54  0.766272    613/619 	 RandomExcursions
 67  60  66  59  73  56  58  58  62  60  0.912155    614/619 	 RandomExcursions
 67  67  57  65  55  58  58  63  64  65  0.968491    614/619 	 RandomExcursions
 62  61  55  65  59  61  57  55  68  76  0.734246    615/619 	 RandomExcursionsVariant
 64  58  58  58  61  61  62  67  72  58  0.958110    617/619 	 RandomExcursionsVariant
 65  64  57  64  52  55  64  68  72  58  0.778784    616/619 	 RandomExcursionsVariant
 54  69  81  45  48  63  57  67  65  70  0.041514    614/619 	 RandomExcursionsVariant
 59  67  51  59  57  81  56  52  73  64  0.158126    614/619 	 RandomExcursionsVariant
 56  60  61  73  54  56  60  68  67  64  0.803190    610/619 	 RandomExcursionsVariant
 69  63  47  63  55  52  57  69  68  76  0.224365    614/619 	 RandomExcursionsVariant
 63  65  68  53  49  60  79  57  74  51  0.115430    609/619 	 RandomExcursionsVariant
 50  67  71  72  48  58  70  63  64  56  0.291531    613/619 	 RandomExcursionsVariant
 48  67  61  68  67  73  63  62  50  60  0.443561    615/619 	 RandomExcursionsVariant
 53  65  64  81  60  57  60  55  65  59  0.440561    611/619 	 RandomExcursionsVariant
 71  54  67  65  64  54  67  58  61  58  0.840738    605/619  *	 RandomExcursionsVariant
 74  64  65  58  64  55  50  74  51  64  0.325091    603/619  *	 RandomExcursionsVariant
 76  60  65  67  60  59  66  64  45  57  0.402565    607/619 	 RandomExcursionsVariant
 79  57  56  63  55  61  60  65  69  54  0.483471    610/619 	 RandomExcursionsVariant
 76  60  55  48  61  63  74  68  53  61  0.245972    608/619 	 RandomExcursionsVariant
 73  60  51  62  60  58  59  83  60  53  0.165404    609/619 	 RandomExcursionsVariant
 70  63  61  66  64  56  48  63  67  61  0.781882    609/619 	 RandomExcursionsVariant
 99  97 101  87 102 106 110 106  87 105  0.788728    990/1000	 Serial
 92  86  95 105 109 111 105  93 106  98  0.713641    989/1000	 Serial
 98 101  83 104  93  99 103 118 101 100  0.643366    988/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 605 for a sample size = 619 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

# ── Sub-test flags within expected false-positive rate ──
# NonOverlappingTemplate: 2 sub-test(s) flagged (expected ~1.48 at alpha=0.01, threshold for re-run: 4)
# RandomExcursionsVariant: 2 sub-test(s) flagged (expected ~0.18 at alpha=0.01, threshold for re-run: 3)
# These are NOT failures — statistical noise consistent with /dev/urandom.
