# SOPH Battery Test Log
# Suite:     nist
# Seed:      5555555555555555
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 5555555555555555 --bytes 0
# Date:      2026-03-22 22:59:04
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 93  87  94  99  98 100 127  98  96 108  0.295391    990/1000	 NonOverlappingTemplate
 91 100 112  86  82 108 102  98 105 116  0.277082    984/1000	 NonOverlappingTemplate
111  97 104  92 107  83 105 113 103  85  0.370262    988/1000	 NonOverlappingTemplate
104 102 102  80 100 102  93 107 107 103  0.755819    987/1000	 NonOverlappingTemplate
100 100  97  99 106  91 124  85  95 103  0.382115    993/1000	 NonOverlappingTemplate
104  95 103 105  99  99  91  95 106 103  0.986227    989/1000	 NonOverlappingTemplate
115 102 111  95 109  87 102  91 100  88  0.480771    985/1000	 NonOverlappingTemplate
109 101 100  88 113  91 112  90 109  87  0.375313    987/1000	 NonOverlappingTemplate
102  94 103  88 109 116 102  84  99 103  0.534146    995/1000	 NonOverlappingTemplate
 93  83 105  99  94  90 110  97 112 117  0.317565    988/1000	 NonOverlappingTemplate
 92  77 114  95 102  92 102 114 105 107  0.239266    996/1000	 NonOverlappingTemplate
108 123  85 100  97  92  91 102 102 100  0.366918    986/1000	 NonOverlappingTemplate
 93  89 101 102  83 102 122 101 117  90  0.144504    993/1000	 NonOverlappingTemplate
 95  93 105 116 118  78  98  96 102  99  0.220159    991/1000	 NonOverlappingTemplate
 94 110 107  96 102 106 102 114  89  80  0.382115    992/1000	 NonOverlappingTemplate
 93 104  91 106 111  94 114  98 105  84  0.514124    989/1000	 NonOverlappingTemplate
112  78 121  91  91 105  95 103  96 108  0.133404    987/1000	 NonOverlappingTemplate
