# SOPH Battery Test Log
# Suite:     nist
# Seed:      04
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 04 --bytes 0
# Date:      2026-03-22 10:40:07
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 80  90  79 104 108 123 110  84 109 113  0.010383    990/1000	 NonOverlappingTemplate
 96 115 118 101 106 108  92  92  77  95  0.142062    992/1000	 NonOverlappingTemplate
103 116 107  85 107 103 105 102  85  87  0.334538    990/1000	 NonOverlappingTemplate
 94 101  94  92 107 107 101  97 124  83  0.268917    988/1000	 NonOverlappingTemplate
 96 101 117 117 104  96  76 107  91  95  0.138069    989/1000	 NonOverlappingTemplate
 92  89 131  94  99 107 104  91  98  95  0.138069    993/1000	 NonOverlappingTemplate
119 104  87 111  98 102 104 106  86  83  0.206629    994/1000	 NonOverlappingTemplate
102  70 116 102  95  85 102 123 104 101  0.020269    988/1000	 NonOverlappingTemplate
108 104  98  96  91 105 106  98  95  99  0.974370    982/1000	 NonOverlappingTemplate
101 114 101  90 110  83 105  90 100 106  0.486588    990/1000	 NonOverlappingTemplate
100  96 103  98 115 113 101  89  88  97  0.639202    995/1000	 NonOverlappingTemplate
 96 101  89  95 104 116  93 105  99 102  0.821937    992/1000	 NonOverlappingTemplate
105 113  69 100  95  98 134  79  97 110  0.000674    998/1000	 NonOverlappingTemplate
101 110 103 102 104 106  87  94 107  86  0.723804    992/1000	 NonOverlappingTemplate
 88 105 106 101 109  95 109  91  95 101  0.834308    995/1000	 NonOverlappingTemplate
113  92  98  82 119 107 100 110 105  74  0.038565    990/1000	 NonOverlappingTemplate
107 109  92 120 100  91  83  93 105 100  0.320607    991/1000	 NonOverlappingTemplate
100 104  93 102  99  92  99  98 104 109  0.984415    984/1000	 NonOverlappingTemplate
101  93 104 103  93  97  93 112 101 103  0.948298    991/1000	 NonOverlappingTemplate
 97 109  95  92 111 108  92 115  94  87  0.476911    997/1000	 NonOverlappingTemplate
 88 115  97 107  98 106  97  97  93 102  0.800005    989/1000	 NonOverlappingTemplate
 92 126  98  88 101 100  96  92  91 116  0.159910    993/1000	 NonOverlappingTemplate
103 108 106  83  84 104 104  89 109 110  0.360287    987/1000	 NonOverlappingTemplate
101 108 106 101  99  95  98  99 101  92  0.991780    986/1000	 NonOverlappingTemplate
105 103  99  95 105 108  95  82  98 110  0.737915    990/1000	 NonOverlappingTemplate
 96  99  89 121  92  83  90 118 100 112  0.090936    992/1000	 NonOverlappingTemplate
102 109  87  81  96 104 109 109  94 109  0.413628    990/1000	 NonOverlappingTemplate
106 101 104  99 103  99  87  97  96 108  0.954930    993/1000	 NonOverlappingTemplate
 99 102 110 104 109  86  81  95 120  94  0.202268    987/1000	 NonOverlappingTemplate
101 106  94  99 104  89 105 102  95 105  0.968128    989/1000	 NonOverlappingTemplate
108 102  99 100 100 107  85 113  94  92  0.727851    992/1000	 NonOverlappingTemplate
 91 108 106  86 101 103  85  98 109 113  0.469232    992/1000	 NonOverlappingTemplate
109  94 106  95 114 101 111  82  98  90  0.415422    987/1000	 OverlappingTemplate
 94 118 101 105  95 103  83 108  91 102  0.476911    992/1000	 Universal
122  91  93  93  98 109  97  97 104  96  0.536163    983/1000	 ApproximateEntropy
 58  62  58  66  61  68  69  62  64  75  0.914557    631/643 	 RandomExcursions
 73  62  49  65  59  60  77  60  66  72  0.401637    638/643 	 RandomExcursions
 69  64  55  57  66  67  74  60  67  64  0.872209    636/643 	 RandomExcursions
 70  57  66  54  61  74  63  66  63  69  0.825270    635/643 	 RandomExcursions
 55  76  69  55  52  57  61  69  70  79  0.175538    636/643 	 RandomExcursions
 58  60  71  67  65  62  67  65  66  62  0.990577    635/643 	 RandomExcursions
 61  76  70  62  67  78  52  57  66  54  0.290043    635/643 	 RandomExcursions
 60  72  62  64  60  61  61  68  62  73  0.946714    636/643 	 RandomExcursions
 72  69  72  61  64  66  53  64  55  67  0.754916    638/643 	 RandomExcursionsVariant
 75  68  73  58  60  69  57  67  64  52  0.563062    636/643 	 RandomExcursionsVariant
 72  69  59  72  66  66  57  58  70  54  0.707952    635/643 	 RandomExcursionsVariant
 68  67  70  60  73  63  65  57  65  55  0.874635    636/643 	 RandomExcursionsVariant
 74  71  74  53  62  53  68  54  75  59  0.227243    637/643 	 RandomExcursionsVariant
 66  66  81  57  53  63  62  70  64  61  0.531484    638/643 	 RandomExcursionsVariant
 63  55  65  64  65  80  62  55  58  76  0.401637    637/643 	 RandomExcursionsVariant
 56  47  73  60  67  64  52  76  69  79  0.078291    635/643 	 RandomExcursionsVariant
 61  46  65  55  73  66  73  67  76  61  0.240426    637/643 	 RandomExcursionsVariant
 60  52  65  69  68  66  67  57  74  65  0.773162    640/643 	 RandomExcursionsVariant
 60  55  60  69  82  73  63  56  69  56  0.287838    636/643 	 RandomExcursionsVariant
 61  72  54  65  74  47  79  61  68  62  0.177042    636/643 	 RandomExcursionsVariant
 68  58  54  71  64  51  57  81  81  58  0.065818    637/643 	 RandomExcursionsVariant
 67  60  68  64  63  55  66  66  70  64  0.978561    637/643 	 RandomExcursionsVariant
 60  68  61  64  74  63  52  56  72  73  0.566248    638/643 	 RandomExcursionsVariant
 56  63  67  73  64  60  64  62  70  64  0.952739    639/643 	 RandomExcursionsVariant
