# SOPH Battery Test Log
# Suite:     nist
# Seed:      00
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex 00 --bytes 0
# Date:      2026-03-22 10:34:16
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 92  93  99  96  95 107  97 116  90 115  0.540204    986/1000	 NonOverlappingTemplate
113 119  96  85 106  84 107  89  98 103  0.188601    992/1000	 NonOverlappingTemplate
105  92 104  93  80 118  98  95 120  95  0.148653    990/1000	 NonOverlappingTemplate
 88 115  73 112  92 105 102 102 110 101  0.108791    990/1000	 NonOverlappingTemplate
 96  97 109  93  85  95  91 107 108 119  0.383827    991/1000	 NonOverlappingTemplate
 91  92 110 105  96  97 107 106  96 100  0.914025    987/1000	 NonOverlappingTemplate
106 103  98  98  93  97 102 108 100  95  0.990819    988/1000	 NonOverlappingTemplate
109  98 107  91  98  84 107 104  99 103  0.788728    988/1000	 NonOverlappingTemplate
 99  96 111 107  90 106  99  97  68 127  0.013287    989/1000	 NonOverlappingTemplate
108 107  86 122  99  61 111  97 103 106  0.003084    991/1000	 NonOverlappingTemplate
102  95 120  92  88  97 108  86 109 103  0.353733    991/1000	 NonOverlappingTemplate
 93  96 110  98 124  95  96  88  95 105  0.366918    994/1000	 NonOverlappingTemplate
106 103  87 106  86  91 117 104  99 101  0.500279    985/1000	 NonOverlappingTemplate
 95 105 104  86  98 103  89  97 103 120  0.520102    990/1000	 NonOverlappingTemplate
 88 105  94 103  99 107  97  97 106 104  0.949278    994/1000	 NonOverlappingTemplate
 99  93  99  91  79  88 116 121 111 103  0.079538    991/1000	 NonOverlappingTemplate
 93 102  93 110  96  97  98 100 104 107  0.965860    992/1000	 NonOverlappingTemplate
 94  88  94  99 102 126 112 107 100  78  0.072514    987/1000	 NonOverlappingTemplate
 89 116  92  97  88 112 111  89 106 100  0.337688    988/1000	 NonOverlappingTemplate
 89 103 111 101  98  90  85 102 101 120  0.361938    995/1000	 NonOverlappingTemplate
102  97 107  98  97 103 126  87 102  81  0.165340    991/1000	 NonOverlappingTemplate
 97 104 101  99  91  93  99 110 101 105  0.970302    989/1000	 NonOverlappingTemplate
104 101 100  93 103 102  92  94 109 102  0.976878    990/1000	 OverlappingTemplate
131  97 100 100  79 120  91 100  91  91  0.014857    986/1000	 Universal
102  87 101  91 106 113 110 115  92  83  0.250558    991/1000	 ApproximateEntropy
 59  63  58  60  70  56  73  66  64  53  0.774108    614/622 	 RandomExcursions
 59  62  63  60  63  77  54  66  62  56  0.767870    616/622 	 RandomExcursions
 72  66  56  54  83  59  73  44  62  53  0.023886    615/622 	 RandomExcursions
 58  72  64  66  67  69  57  70  59  40  0.175368    619/622 	 RandomExcursions
 56  62  59  75  52  57  71  72  51  67  0.296764    617/622 	 RandomExcursions
 63  68  64  66  56  57  61  67  59  61  0.981694    614/622 	 RandomExcursions
 50  66  47  77  58  59  66  79  67  53  0.051771    616/622 	 RandomExcursions
 55  53  75  66  72  48  56  56  75  66  0.124167    618/622 	 RandomExcursions
 38  63  75  52  61  66  61  51  69  86  0.002139    616/622 	 RandomExcursionsVariant
 44  58  65  73  67  54  69  63  72  57  0.225161    617/622 	 RandomExcursionsVariant
 46  61  59  74  73  61  65  64  57  62  0.422859    618/622 	 RandomExcursionsVariant
 53  53  61  52  78  87  52  56  52  78  0.001827    616/622 	 RandomExcursionsVariant
 41  66  52  72  73  60  73  74  54  57  0.032304    618/622 	 RandomExcursionsVariant
 51  56  67  64  62  74  71  62  50  65  0.431654    618/622 	 RandomExcursionsVariant
 55  74  53  63  51  60  60  76  64  66  0.353618    616/622 	 RandomExcursionsVariant
 65  55  60  61  75  67  52  59  54  74  0.417051    616/622 	 RandomExcursionsVariant
 72  59  85  58  62  53  65  63  58  47  0.070175    621/622 	 RandomExcursionsVariant
 56  63  71  69  64  70  71  44  58  56  0.267642    617/622 	 RandomExcursionsVariant
 60  55  67  71  63  78  57  48  61  62  0.330565    619/622 	 RandomExcursionsVariant
 60  77  63  56  67  50  51  72  59  67  0.269805    619/622 	 RandomExcursionsVariant
 67  70  63  69  59  57  57  61  46  73  0.414164    616/622 	 RandomExcursionsVariant
 67  72  56  71  50  69  57  60  71  49  0.244695    618/622 	 RandomExcursionsVariant
 61  65  74  50  58  74  61  60  58  61  0.563552    618/622 	 RandomExcursionsVariant
 55  72  64  62  56  66  58  61  71  57  0.810451    617/622 	 RandomExcursionsVariant
 46  88  60  62  64  65  63  57  66  51  0.036695    620/622 	 RandomExcursionsVariant
 45  77  72  64  71  63  59  64  51  56  0.123013    619/622 	 RandomExcursionsVariant
 94  84  93 103 108 113 102 115  86 102  0.340858    993/1000	 Serial
 88 120  93  88 103 100 107  99 100 102  0.534146    990/1000	 Serial
105 111  98  96  90  98  92  88 115 107  0.583145    992/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 608 for a sample size = 622 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -

# ── Sub-test flags within expected false-positive rate ──
# NonOverlappingTemplate: 3 sub-test(s) flagged (expected ~1.5 at alpha=0.01, threshold for re-run: 4)
# These are NOT failures — statistical noise consistent with /dev/urandom.
