# SOPH Battery Test Log
# Suite:     nist
# Seed:      abababababababab
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex abababababababab --bytes 0
# Date:      2026-03-22 23:03:15
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
 83  97 104 118 103 101  82 107 102 103  0.323668    988/1000	 NonOverlappingTemplate
103  91  95 107 103  99  90 101 100 111  0.914025    987/1000	 NonOverlappingTemplate
 99 102 107 101 121  77  95 109  89 100  0.185555    989/1000	 NonOverlappingTemplate
102  97 110  95  97 110  91  98  87 113  0.668321    988/1000	 NonOverlappingTemplate
103  77 103 109 111 106 113  98  76 104  0.078086    993/1000	 NonOverlappingTemplate
 86  95 101  98 103 118  93 101 109  96  0.630872    989/1000	 NonOverlappingTemplate
103  93 114  94 108  96  94  95  97 106  0.854708    991/1000	 NonOverlappingTemplate
 99 124 114  95  96  91  99  91  97  94  0.332970    991/1000	 NonOverlappingTemplate
102 105  95  92 116  97 101 102  84 106  0.657933    989/1000	 NonOverlappingTemplate
109  79  90  93 105 113  88 118 110  95  0.103138    991/1000	 NonOverlappingTemplate
103 115 101  90  83 106 118  89  99  96  0.260930    988/1000	 NonOverlappingTemplate
103 102  84 103  74 105 112 108 111  98  0.157251    990/1000	 OverlappingTemplate
128  90 102  91 104  84 118  86  97 100  0.038818    985/1000	 Universal
107  92 103 109  82 102  96 110  96 103  0.666245    990/1000	 ApproximateEntropy
 58  62  58  68  61  71  89  58  53  65  0.105740    638/643 	 RandomExcursions
 66  64  54  66  64  66  62  63  71  67  0.974769    634/643 	 RandomExcursions
 72  55  64  82  65  56  66  58  65  60  0.421072    640/643 	 RandomExcursions
 63  65  59  78  56  71  60  55  67  69  0.611230    636/643 	 RandomExcursions
 50  68  58  66  72  75  67  59  59  69  0.525238    638/643 	 RandomExcursions
 57  47  69  71  69  68  76  60  63  63  0.388080    639/643 	 RandomExcursions
 68  54  77  72  63  63  61  71  47  67  0.276990    636/643 	 RandomExcursions
 66  70  64  58  78  69  66  59  52  61  0.591879    634/643 	 RandomExcursions
 54  75  72  81  64  51  62  48  64  72  0.055712    640/643 	 RandomExcursionsVariant
 55  74  77  65  72  65  60  48  64  63  0.296733    640/643 	 RandomExcursionsVariant
 59  69  65  78  68  53  62  57  62  70  0.595098    638/643 	 RandomExcursionsVariant
 69  52  63  74  69  75  43  52  68  78  0.026493    635/643 	 RandomExcursionsVariant
 61  63  63  60  60  76  60  65  64  71  0.916555    634/643 	 RandomExcursionsVariant
 63  60  62  54  76  61  76  73  52  66  0.346596    639/643 	 RandomExcursionsVariant
 66  57  56  63  60  71  62  63  84  61  0.412679    641/643 	 RandomExcursionsVariant
 69  58  64  58  64  59  67  64  79  61  0.773162    641/643 	 RandomExcursionsVariant
 72  89  54  57  51  48  71  67  67  67  0.013520    637/643 	 RandomExcursionsVariant
 62  64  67  79  66  73  57  58  59  58  0.607999    635/643 	 RandomExcursionsVariant
 53  70  71  67  55  60  70  69  66  62  0.748757    638/643 	 RandomExcursionsVariant
 64  62  71  64  43  68  68  58  64  81  0.152865    639/643 	 RandomExcursionsVariant
 57  68  66  52  68  62  70  71  71  58  0.714303    639/643 	 RandomExcursionsVariant
 49  60  78  53  77  65  51  70  65  75  0.059106    636/643 	 RandomExcursionsVariant
 49  64  74  70  61  66  68  66  58  67  0.656543    635/643 	 RandomExcursionsVariant
 55  63  55  77  71  63  77  58  65  59  0.390769    636/643 	 RandomExcursionsVariant
 51  54  57  85  71  66  62  70  63  64  0.151534    637/643 	 RandomExcursionsVariant
 57  50  70  62  80  60  55  76  55  78  0.057954    638/643 	 RandomExcursionsVariant
109 105  89  85 102 100 108 101 113  88  0.500279    992/1000	 Serial
101  89  96 117  88  96 107  97 100 109  0.610070    990/1000	 Serial
106 107  93 103 109  98  89 108  96  91  0.825505    993/1000	 LinearComplexity


- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
The minimum pass rate for each statistical test with the exception of the
random excursion (variant) test is approximately = 980 for a
sample size = 1000 binary sequences.

The minimum pass rate for the random excursion (variant) test
is approximately = 629 for a sample size = 643 binary sequences.

For further guidelines construct a probability table using the MAPLE program
provided in the addendum section of the documentation.
- - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - - -
