# SOPH Battery Test Log
# Suite:     nist
# Seed:      cafebabe
# Generator: $HOME/Desktop/SOPH_ALGO/bin/soph_v3 --gen --seed-hex cafebabe --bytes 0
# Date:      2026-03-22 22:57:43
#======================================================================

------------------------------------------------------------------------------
RESULTS FOR THE UNIFORMITY OF P-VALUES AND THE PROPORTION OF PASSING SEQUENCES
------------------------------------------------------------------------------
   generator is <->
------------------------------------------------------------------------------
 C1  C2  C3  C4  C5  C6  C7  C8  C9 C10  P-VALUE  PROPORTION  STATISTICAL TEST
------------------------------------------------------------------------------
101 111 103  96  95 105  95  98  95 101  0.980341    990/1000	 NonOverlappingTemplate
 94  96 112 105 106  90  98 108  91 100  0.829047    990/1000	 NonOverlappingTemplate
107 103 105 115 104  99  89  92  92  94  0.729870    990/1000	 NonOverlappingTemplate
106  97 111 102  89 102  93 107  97  96  0.899171    987/1000	 NonOverlappingTemplate
 94 101 101  89 106 121 110  94  87  97  0.392456    992/1000	 NonOverlappingTemplate
109 106  93  89  96 100 102  92 110 103  0.851383    986/1000	 NonOverlappingTemplate
 99 107 103 130  95 102  97  91  92  84  0.123038    996/1000	 NonOverlappingTemplate
 99  91 116 115  97 104  87  98 107  86  0.345650    982/1000	 NonOverlappingTemplate
 90 111 113  72 102  97 109 105  95 106  0.139655    988/1000	 NonOverlappingTemplate
 92  97  89 105 124 109 104 110  83  87  0.105618    991/1000	 NonOverlappingTemplate
115  99 107  84 103  87  93  99  98 115  0.360287    988/1000	 NonOverlappingTemplate
 93 117  89 110 105  92 105 103 102  84  0.399442    991/1000	 NonOverlappingTemplate
 90 104 102  88 113 104  91 119  89 100  0.340858    984/1000	 NonOverlappingTemplate
 99 103  97  95 110 114  96  78  94 114  0.295391    993/1000	 OverlappingTemplate
 93  95 114 104 109 100  94  94  99  98  0.880145    993/1000	 Universal
 90 110 104 107  96 101  97  95 119  81  0.320607    995/1000	 ApproximateEntropy
 62  61  56  68  66  66  70  65  44  65  0.515337    614/623 	 RandomExcursions
 61  62  78  63  63  66  82  49  48  51  0.028614    621/623 	 RandomExcursions
 67  63  65  53  68  68  54  59  66  60  0.875849    618/623 	 RandomExcursions
 60  57  61  66  68  73  53  63  65  57  0.824977    619/623 	 RandomExcursions
 62  65  60  65  56  61  58  58  78  60  0.777305    615/623 	 RandomExcursions
 56  57  64  69  60  61  72  64  60  60  0.930408    617/623 	 RandomExcursions
 62  74  63  50  75  52  65  59  68  55  0.304456    618/623 	 RandomExcursions
 78  50  62  76  55  71  47  64  63  57  0.072695    617/623 	 RandomExcursions
